"id","event_name","parent_campaign","start_year","end_year","place_name","country_today","lat","lon","geometry_type","perpetrator","target_group","category","deaths_low","deaths_high","evidence_tier","key_source","status","notes","register_reason","what_would_unlock_it"
"EV0722","Starving out Tibetan monks in Lijiang region","Great Leap Forward famine","1958","1959","Tibetan area of Lijiang region, Yunnan (now Diqing)","China","","","unmapped","Local Communist authorities","Tibetan Buddhist monks","religious persecution","","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 58, p. 104, translating: Zhou Chiping's report on Lijiang region, Jul-Oct 1959; Yunnan Province Bureau of Grain Archive, 120-1-118, pp. 15-17","confirmed","REGISTER. Why not mapped: Prefecture-level only (about 24,000 km2). What would place it: The names of the monasteries affected.","Prefecture-level only (about 24,000 km2)","The names of the monasteries affected"
"EV0723","Private jails and torture across Wanxian region","Great Leap Forward famine","1959","1961","Wanxian region, Sichuan (now northeastern Chongqing)","China","","","unmapped","Commune and brigade cadres","Peasants","state terror","","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 3, p. 21, translating: Wanxian Region Party Committee report, 1961; Sichuan Provincial Party Committee Archive, JC 1-2064, p. 48","confirmed","REGISTER. Why not mapped: Region-wide summary covering several counties. What would place it: Specific communes named in Wanxian county gazetteers.","Region-wide summary covering several counties","Specific communes named in Wanxian county gazetteers"
"EV0724","Torture and killings in Dongyang commune","Great Leap Forward famine","1959","1960","Dongyang commune, Wanxian region, Sichuan","China","","","unmapped","Dongyang commune cadres","Commune members","state terror","113","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 3, p. 22, translating: Wanxian Region Party Committee report, 1961; Sichuan Provincial Party Committee Archive, JC 1-2064, p. 48","confirmed","REGISTER. Why not mapped: The commune's county is not stated and no Dongyang was found in the old Wanxian region. What would place it: A Wanxian-area gazetteer naming a Dongyang commune.","The commune's county is not stated and no Dongyang was found in the old Wanxian region","A Wanxian-area gazetteer naming a Dongyang commune"
"EV0725","Further cannibalism cases in the Linxia register","Great Leap Forward famine","1959","1960","Hanzhai, Yiji, Maiji, Xinzhuang, Sanshilipu, Yanzhi, Youai, Xihe, Caotan and Hanmasigou, Linxia, Gansu","China","","","unmapped","State grain procurement under the Great Leap Forward, which produced the famine; no official is named in the document","Famine dead and murdered victims","engineered famine","","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 26, p. 62-67, translating: Ningxia branch, Government Solicitude Group, 3 Mar 1961; Gansu Provincial Party Committee Archive, 91-4-898, pp. 83-87","confirmed","REGISTER. Why not mapped: None of these communes could be located. What would place it: Linxia prefecture and county gazetteers; 'Maiji' may be Maji and 'Hanmasigou' may be Manisigou.","None of these communes could be located","Linxia prefecture and county gazetteers; 'Maiji' may be Maji and 'Hanmasigou' may be Manisigou"
"EV0726","Forced confession and suicide in Xiapeng commune","Great Leap Forward famine","1959","1959","Xiapeng commune, Shantou, Guangdong","China","","","unmapped","Wang Song, head of security","Peasant and his two children","state terror","1","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 7, p. 30, translating: Guangdong Procuratorial Party Committee report, June 1959; Kaiping County Party Committee Archive, 3-A0.09-80, pp. 5-6","confirmed","REGISTER. Why not mapped: Commune not located, and the Shantou area is densely populated. What would place it: A Shantou-area gazetteer naming Xiapeng commune.","Commune not located, and the Shantou area is densely populated","A Shantou-area gazetteer naming Xiapeng commune"
"EV0727","House burnings in Pingxi district","Great Leap Forward famine","1958","1961","Pingxi administrative district, Fuling region, Sichuan","China","","","unmapped","Local commune cadres","Peasant households","forced displacement","","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 4, p. 22, translating: Yang Wanxuan report on Fuling region, Jan-Aug 1961; Sichuan Provincial Party Committee Archive, JC 1-2606, pp. 18-19","confirmed","REGISTER. Why not mapped: Pingxi could not be located within the Fuling region. What would place it: A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it.","Pingxi could not be located within the Fuling region","A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it"
"EV0728","Abuse of children at Hongqi commune orphanage","Great Leap Forward famine","1961","1961","Hongqi commune orphanage, Dianjiang county, Chongqing","China","","","unmapped","Orphanage staff","Orphans","institutional abuse","14","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 16, p. 48, translating: Famine Relief Department, Sichuan Province Bureau of Civil Affairs, Feb-Dec 1961; Sichuan Province Bureau of Civil Affairs Archive, JC 44-824, p. 199","confirmed","REGISTER. Why not mapped: County-level only, and the county is densely populated (roughly 430/km2, 2020, approximate), so a county-seat pin would not be readable. What would place it: A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it.","County-level only, and the county is densely populated (roughly 430/km2, 2020, approximate), so a county-seat pin would not be readable","A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it"
"EV0729","Forced labour of pregnant women in Hongzhu district","Great Leap Forward famine","1959","1961","Hongzhu administrative district, Fushun county, Sichuan","China","","","unmapped","He Changhua, former deputy commune head","Pregnant women","institutional abuse","","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 13, p. 46, translating: Yibin branch and Fushun sub-branch, Rectification Campaign Working Group, Jan-Nov 1961; Sichuan Provincial Party Committee Archive, JC 1-2611, p. 3","confirmed","REGISTER. Why not mapped: County-level only, and the county is densely populated (roughly 590/km2, 2020, approximate), so a county-seat pin would not be readable. What would place it: A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it.","County-level only, and the county is densely populated (roughly 590/km2, 2020, approximate), so a county-seat pin would not be readable","A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it"
"EV0730","Patients forced out to die, Long'an and central hospitals","Great Leap Forward famine","1960","1961","Long'an district hospital and central hospital, Jiangbei county, Chongqing","China","","","unmapped","Doctors Liu Heren, He Shiwei and Tang Bihai and hospital staff","Edema patients","institutional abuse","11","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 24, p. 57-58, translating: Department for Disease Control, Sichuan Province Bureau of Health and Hygiene, 1961; file JC 133-2793","confirmed","REGISTER. Why not mapped: County-level only, and the county is densely populated (roughly 1190/km2, 2020, approximate), so a county-seat pin would not be readable. What would place it: The locations of the Long'an district and Jiangbei central hospitals.","County-level only, and the county is densely populated (roughly 1190/km2, 2020, approximate), so a county-seat pin would not be readable","The locations of the Long'an district and Jiangbei central hospitals"
"EV0731","Father cuts off his child's thumb after a cadre fine","Great Leap Forward famine","1960","1960","Xingfu administrative district, Jianyang county, Sichuan","China","","","unmapped","Zeng Wenbing, brigade head, after big-brigade cadres fined him","His child","state terror","","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 98, p. 141, translating: Neijiang branch, Agricultural and Grain Production Investigation Team, Mar-Dec 1960; Sichuan Provincial Party Committee Archive, JC 1-2112, p. 4","confirmed","REGISTER. Why not mapped: County-level only, and the county is densely populated (roughly 500/km2, 2020, approximate), so a county-seat pin would not be readable. What would place it: A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it.","County-level only, and the county is densely populated (roughly 500/km2, 2020, approximate), so a county-seat pin would not be readable","A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it"
"EV0732","Head shaving as punishment, Jiangkou commune","Great Leap Forward famine","1959","1959","Jiangkou commune, Puning county, Guangdong","China","","","unmapped","Jiangkou commune cadres","Commune members","state terror","","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 7, p. 31, translating: Guangdong Procuratorial Party Committee report, June 1959; Kaiping County Party Committee Archive, 3-A0.09-80, pp. 5-6","confirmed","REGISTER. Why not mapped: County-level only, and the county is densely populated (roughly 1230/km2, 2020, approximate), so a county-seat pin would not be readable. What would place it: A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it.","County-level only, and the county is densely populated (roughly 1230/km2, 2020, approximate), so a county-seat pin would not be readable","A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it"
"EV0733","Deaths from searches and assaults in five Guangdong counties","Great Leap Forward famine","1959","1959","Wenchang, Hua, Kaiping, Leibei and Zengcheng counties, Guangdong","China","","","unmapped","Commune cadres","Commune members","state terror","34","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 7, p. 29, translating: Guangdong Procuratorial Party Committee report, June 1959; Kaiping County Party Committee Archive, 3-A0.09-80, pp. 5-6","confirmed","REGISTER. Why not mapped: One figure spread across five counties; it cannot be split to a place. What would place it: County-level breakdowns in the Guangdong procuratorate files.","One figure spread across five counties; it cannot be split to a place","County-level breakdowns in the Guangdong procuratorate files"
"EV0734","Beating frenzy in Liling county","Great Leap Forward famine","1959","1960","Liling county (incl. Taohua commune), Hunan","China","","","unmapped","County and commune cadres","Cadres and commune members","state terror","3","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 8, p. 31-32, translating: Lou Qinan, Zhao Chuqi, Zhang Tongzuo and Yang Shuqing to the Hunan Provincial Party Committee, 2 Jun 1960; Hunan Provincial Party Committee Archive, 141-1-1672, pp. 2-3","confirmed","REGISTER. Why not mapped: County-level only, and the county is densely populated (roughly 440/km2, 2020, approximate), so a county-seat pin would not be readable. What would place it: A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it.","County-level only, and the county is densely populated (roughly 440/km2, 2020, approximate), so a county-seat pin would not be readable","A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it"
"EV0735","Women pressured to work topless, Red Flag commune","Great Leap Forward famine","1958","1958","Red Flag commune steel works, Wugang county, Hunan","China","","","unmapped","Li Zhaofeng, commune Youth League secretary, and regiment cadres","Female steelworkers","mass sexual violence","","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 11, p. 39-42, translating: Wugang County Supervision Committee, 18 Dec 1958; Hunan Provincial Party Committee Archive, 141-1-1322, pp. 2-5","confirmed","REGISTER. Why not mapped: County-level only, and the county is densely populated (roughly 450/km2, 2020, approximate), so a county-seat pin would not be readable. What would place it: The Red Flag commune steel works site.","County-level only, and the county is densely populated (roughly 450/km2, 2020, approximate), so a county-seat pin would not be readable","The Red Flag commune steel works site"
"EV0736","Corpses boiled into fertilizer, Guandu big brigade","Great Leap Forward famine","1958","1958","Guandu big brigade, Xinhe commune, Li county, Hunan","China","","","unmapped","Guandu big brigade leadership","The dead and their families","state terror","","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 34, p. 77-78, translating: Hou Shixiang's letter to the Political Department of Shaanxi Military Region, March 1959; Hunan Provincial Party Committee Archive, 141-1-1322, pp. 108-110","confirmed","REGISTER. Why not mapped: County-level only, and the county is densely populated (roughly 330/km2, 2020, approximate), so a county-seat pin would not be readable. What would place it: A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it.","County-level only, and the county is densely populated (roughly 330/km2, 2020, approximate), so a county-seat pin would not be readable","A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it"
"EV0737","Three people hounded to death, Guodamiao","Great Leap Forward famine","1958","1958","Guodamiao township, Taihe county, Anhui","China","","","unmapped","Local cadres","Collective members","state terror","3","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 107, p. 151, translating: Liu Yuqing's letter to the Fuyang Region Party Committee, 1958; Fuyang Region Party Committee Archive, J3-2-173, pp. 2-3","confirmed","REGISTER. Why not mapped: County-level only, and the county is densely populated (roughly 730/km2, 2020, approximate), so a county-seat pin would not be readable. What would place it: A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it.","County-level only, and the county is densely populated (roughly 730/km2, 2020, approximate), so a county-seat pin would not be readable","A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it"
"EV0738","Teenagers paraded and driven to suicide, Diaofeng commune","Great Leap Forward famine","1959","1959","Diaofeng commune, Leibei county, Guangdong","China","","","unmapped","Diaofeng commune cadres","Teenagers","state terror","2","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 7, p. 29, translating: Guangdong Procuratorial Party Committee report, June 1959; Kaiping County Party Committee Archive, 3-A0.09-80, pp. 5-6","confirmed","REGISTER. Why not mapped: Leibei was a short-lived 1958-61 county whose seat could not be confirmed, and the area is densely populated. What would place it: Leibei county's seat and communes in Zhanjiang-area records.","Leibei was a short-lived 1958-61 county whose seat could not be confirmed, and the area is densely populated","Leibei county's seat and communes in Zhanjiang-area records"
"EV0739","Letter-writer Du Shida detained, Najia commune","Great Leap Forward famine","1959","1961","Najia commune, Zhijin county, Guizhou","China","","","unmapped","Najia commune Party secretary and police","Villager who reported corruption to Mao","political repression","","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 103, p. 148, translating: Guizhou Province Bureau of Public Security report, 1961; Chishui County Party Committee Archive, 1-A12-9, pp. 22-23","confirmed","REGISTER. Why not mapped: County-level only; Zhijin (about 272/km2) falls in the 200-300 borderline band and was placed in the register. What would place it: A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it.","County-level only; Zhijin (about 272/km2) falls in the 200-300 borderline band and was placed in the register","A county gazetteer (xianzhi) or commune history locating the commune or brigade would place it"
"EV0740","Suppression of the True Jesus Church","Great Leap Forward famine","1958","1959","Xichong, Yanting and Wusheng counties, Sichuan","China","","","unmapped","Sichuan Department of Religious Affairs and public security","True Jesus Church members","religious persecution","","","1","Zhou Xun (ed.), The Great Famine in China, 1958-1962: A Documentary History (Yale University Press, 2012), doc. 60, p. 105-106, translating: Department of Religious Affairs, Sichuan Province People's Committee, 1959; Religious Affairs archive, JC 50-110, pp. 1-4","confirmed","REGISTER. Why not mapped: A campaign across three counties; the only named site is 'the church in Yanting county', not located. What would place it: The location of the Yanting True Jesus Church.","A campaign across three counties; the only named site is 'the church in Yanting county', not located","The location of the Yanting True Jesus Church"
